CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-05-01 00:00,171.4,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-06-01 00:00,98.3,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-07-01 00:00,48.1,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-08-01 00:00,113.5,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-09-01 00:00,180.7,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-10-01 00:00,87.3,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-11-01 00:00,124.1,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1992-12-01 00:00,64.9,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1993-01-01 00:00,69.6,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1993-02-01 00:00,59.5,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1993-03-01 00:00,109.2,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1993-04-01 00:00,126.1,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.224679,-75.588225,1500,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,1993-05-01 00:00,196.6,50,,900
